,0,1,2,3,4,5,6,7,8,9,10,11
0,8,1,7,3,9,1,0,10,0,10,0,10
1,4,5,0,10,1,9,0,10,0,10,1,9
2,6,3,3,7,6,4,0,10,0,10,0,10
3,6,3,5,5,5,5,0,10,0,10,0,10
4,7,2,1,9,2,8,0,10,0,10,0,10
5,0,9,0,10,0,10,0,10,0,10,0,10
6,7,2,3,7,9,1,0,10,0,10,0,10
7,8,1,4,6,7,3,0,10,0,10,0,10
8,4,5,0,10,1,9,0,10,0,10,0,10
9,8,1,7,3,8,2,0,10,0,10,0,10
10,0,10,6,3,1,9,0,10,0,10,0,10
11,0,10,6,3,0,10,0,10,0,10,0,10
12,0,10,6,3,2,8,0,10,0,10,0,10
13,0,10,5,4,0,10,0,10,0,10,0,10
14,0,10,3,6,0,10,0,10,0,10,0,10
15,0,10,8,1,0,10,0,10,0,10,0,10
16,0,10,9,0,0,10,0,10,0,10,0,10
17,0,10,4,5,0,10,0,10,0,10,0,10
18,0,10,4,5,0,10,0,10,0,10,0,10
19,0,10,7,2,1,9,0,10,0,10,0,10
20,0,10,3,7,4,5,0,10,0,10,0,10
21,1,9,7,3,8,1,0,10,0,10,0,10
22,0,10,2,8,6,3,0,10,0,10,0,10
23,0,10,2,8,4,5,0,10,0,10,0,10
24,0,10,6,4,6,3,0,10,0,10,0,10
25,0,10,5,5,7,2,0,10,0,10,0,10
26,0,10,4,6,5,4,0,10,0,10,0,10
27,0,10,1,9,3,6,0,10,0,10,0,10
28,1,9,3,7,1,8,0,10,0,10,0,10
29,0,10,3,7,4,5,0,10,0,10,0,10
30,0,10,0,10,0,10,6,3,5,5,9,1
31,0,10,0,10,0,10,6,3,2,8,6,4
32,0,10,0,10,0,10,5,4,8,2,5,5
33,0,10,0,10,0,10,4,5,0,10,0,10
34,0,10,0,10,0,10,8,1,7,3,4,6
35,0,10,0,10,0,10,6,3,3,7,5,5
36,0,10,0,10,0,10,7,2,10,0,10,0
37,0,10,1,9,0,10,2,7,7,3,5,5
38,0,10,0,10,0,10,1,8,0,10,0,10
39,0,10,0,10,0,10,3,6,8,2,7,3
40,0,10,0,10,0,10,1,9,8,1,5,5
41,0,10,0,10,0,10,0,10,8,1,4,6
42,0,10,0,10,0,10,0,10,5,4,2,8
43,0,10,0,10,0,10,0,10,5,4,2,8
44,0,10,0,10,0,10,1,9,5,4,6,4
45,0,10,0,10,0,10,0,10,5,4,0,10
46,0,10,0,10,0,10,0,10,8,1,5,5
47,0,10,0,10,0,10,0,10,5,4,1,9
48,0,10,0,10,0,10,0,10,0,9,0,10
49,0,10,0,10,0,10,0,10,5,4,2,8
50,0,10,0,10,0,10,2,8,10,0,6,3
51,0,10,0,10,0,10,4,6,10,0,5,4
52,0,10,0,10,0,10,3,7,9,1,5,4
53,0,10,0,10,0,10,4,6,5,5,8,1
54,0,10,0,10,0,10,0,10,0,10,1,8
55,0,10,0,10,0,10,0,10,1,9,4,5
56,0,10,0,10,0,10,1,9,0,10,2,7
57,0,10,0,10,0,10,2,8,9,1,7,2
58,0,10,0,10,0,10,1,9,1,9,5,4
59,0,10,0,10,0,10,2,8,9,1,5,4
